Usuario,TimeStamp,angry,disgust,fear,happy,sad,surprise,neutral,Dominant_Emotion
tester_app1,2026-03-08 09:18:26.457,0.04,0.0,0.03,0.0,0.02,0.0,0.91,neutral
tester_app1,2026-03-08 09:18:26.492,0.05,0.0,0.05,0.0,0.03,0.01,0.86,neutral
tester_app1,2026-03-08 09:18:26.526,0.07,0.0,0.05,0.0,0.04,0.01,0.82,neutral
tester_app1,2026-03-08 09:18:26.561,0.05,0.0,0.06,0.0,0.04,0.02,0.83,neutral
tester_app1,2026-03-08 09:18:26.594,0.05,0.0,0.05,0.0,0.03,0.01,0.86,neutral
tester_app1,2026-03-08 09:18:26.637,0.08,0.0,0.03,0.01,0.02,0.0,0.85,neutral
tester_app1,2026-03-08 09:18:26.687,0.04,0.0,0.02,0.0,0.03,0.01,0.89,neutral
tester_app1,2026-03-08 09:18:26.735,0.02,0.0,0.02,0.0,0.04,0.01,0.91,neutral
tester_app1,2026-03-08 09:18:26.776,0.02,0.0,0.03,0.0,0.05,0.04,0.86,neutral
tester_app1,2026-03-08 09:18:26.821,0.03,0.0,0.03,0.0,0.07,0.01,0.86,neutral
tester_app1,2026-03-08 09:18:26.855,0.02,0.0,0.03,0.0,0.05,0.01,0.9,neutral
tester_app1,2026-03-08 09:18:26.889,0.02,0.0,0.03,0.0,0.05,0.01,0.89,neutral
tester_app1,2026-03-08 09:18:26.921,0.03,0.0,0.02,0.0,0.03,0.0,0.92,neutral
tester_app1,2026-03-08 09:18:26.954,0.05,0.0,0.05,0.0,0.08,0.01,0.81,neutral
tester_app1,2026-03-08 09:18:26.986,0.03,0.0,0.04,0.0,0.07,0.01,0.85,neutral
tester_app1,2026-03-08 09:18:27.020,0.05,0.0,0.06,0.01,0.05,0.02,0.83,neutral
tester_app1,2026-03-08 09:18:27.051,0.03,0.0,0.02,0.0,0.05,0.0,0.89,neutral
tester_app1,2026-03-08 09:18:27.088,0.05,0.0,0.1,0.0,0.08,0.01,0.76,neutral
tester_app1,2026-03-08 09:18:27.133,0.04,0.0,0.08,0.01,0.08,0.02,0.78,neutral
tester_app1,2026-03-08 09:18:27.169,0.03,0.0,0.04,0.0,0.04,0.01,0.88,neutral
tester_app1,2026-03-08 09:18:27.204,0.03,0.0,0.06,0.0,0.03,0.02,0.86,neutral
tester_app1,2026-03-08 09:18:27.237,0.03,0.0,0.09,0.0,0.05,0.03,0.79,neutral
tester_app1,2026-03-08 09:18:27.280,0.02,0.0,0.11,0.0,0.05,0.01,0.81,neutral
tester_app1,2026-03-08 09:18:27.315,0.01,0.0,0.03,0.0,0.04,0.0,0.92,neutral
tester_app1,2026-03-08 09:18:27.352,0.03,0.0,0.05,0.0,0.06,0.01,0.85,neutral
tester_app1,2026-03-08 09:18:27.390,0.02,0.0,0.04,0.0,0.05,0.01,0.88,neutral
tester_app1,2026-03-08 09:18:27.426,0.03,0.0,0.04,0.0,0.06,0.01,0.85,neutral
tester_app1,2026-03-08 09:18:27.468,0.02,0.0,0.03,0.0,0.05,0.01,0.9,neutral
tester_app1,2026-03-08 09:18:27.513,0.02,0.0,0.03,0.0,0.04,0.0,0.91,neutral
tester_app1,2026-03-08 09:18:27.554,0.02,0.0,0.03,0.0,0.03,0.0,0.91,neutral
tester_app1,2026-03-08 09:18:27.595,0.02,0.0,0.04,0.0,0.04,0.0,0.89,neutral
tester_app1,2026-03-08 09:18:27.634,0.04,0.0,0.04,0.0,0.05,0.0,0.87,neutral
tester_app1,2026-03-08 09:18:27.672,0.04,0.0,0.06,0.0,0.03,0.0,0.87,neutral
tester_app1,2026-03-08 09:18:27.710,0.02,0.0,0.02,0.0,0.02,0.0,0.94,neutral
tester_app1,2026-03-08 09:18:27.747,0.02,0.0,0.04,0.0,0.03,0.0,0.91,neutral
tester_app1,2026-03-08 09:18:27.789,0.02,0.0,0.04,0.0,0.03,0.0,0.9,neutral
tester_app1,2026-03-08 09:18:27.833,0.01,0.0,0.01,0.0,0.03,0.0,0.94,neutral
tester_app1,2026-03-08 09:18:27.870,0.01,0.0,0.02,0.0,0.02,0.0,0.94,neutral
tester_app1,2026-03-08 09:18:27.907,0.01,0.0,0.02,0.0,0.02,0.0,0.95,neutral
tester_app1,2026-03-08 09:18:27.943,0.02,0.0,0.02,0.0,0.02,0.0,0.94,neutral
