Usuario,TimeStamp,Emocion,Confianza_en_prediccion
diego,2026-03-07 18:50:47.998,happy,0.63
diego,2026-03-07 18:50:48.033,happy,0.57
diego,2026-03-07 18:50:48.068,neutral,0.45
diego,2026-03-07 18:50:48.102,neutral,0.68
diego,2026-03-07 18:50:48.139,neutral,0.67
diego,2026-03-07 18:50:48.139,angry,0.38
diego,2026-03-07 18:50:48.173,neutral,0.61
diego,2026-03-07 18:50:48.208,neutral,0.75
diego,2026-03-07 18:50:48.246,neutral,0.54
diego,2026-03-07 18:50:48.282,neutral,0.46
diego,2026-03-07 18:50:48.318,neutral,0.59
diego,2026-03-07 18:50:48.352,neutral,0.5
diego,2026-03-07 18:50:48.393,neutral,0.62
diego,2026-03-07 18:50:48.431,neutral,0.53
diego,2026-03-07 18:50:48.466,neutral,0.61
diego,2026-03-07 18:50:48.499,neutral,0.53
diego,2026-03-07 18:50:48.532,neutral,0.49
diego,2026-03-07 18:50:48.563,neutral,0.7
diego,2026-03-07 18:50:48.598,neutral,0.78
diego,2026-03-07 18:50:48.631,neutral,0.66
diego,2026-03-07 18:50:48.665,neutral,0.74
diego,2026-03-07 18:50:48.698,neutral,0.69
diego,2026-03-07 18:50:48.732,neutral,0.68
diego,2026-03-07 18:50:48.765,neutral,0.68
diego,2026-03-07 18:50:48.799,neutral,0.47
diego,2026-03-07 18:50:48.832,neutral,0.58
diego,2026-03-07 18:50:48.865,fear,0.32
diego,2026-03-07 18:50:48.899,neutral,0.41
diego,2026-03-07 18:50:48.934,neutral,0.47
diego,2026-03-07 18:50:48.967,fear,0.5
diego,2026-03-07 18:50:49.001,fear,0.6
diego,2026-03-07 18:50:49.035,fear,0.36
diego,2026-03-07 18:50:49.069,fear,0.37
diego,2026-03-07 18:50:49.102,neutral,0.59
diego,2026-03-07 18:50:49.136,neutral,0.57
diego,2026-03-07 18:50:49.169,neutral,0.49
diego,2026-03-07 18:50:49.204,fear,0.34
diego,2026-03-07 18:50:49.238,angry,0.32
diego,2026-03-07 18:50:49.280,angry,0.24
diego,2026-03-07 18:50:49.315,neutral,0.29
