Usuario,TimeStamp,Emocion,Confianza_en_prediccion
t1,2026-03-07 22:45:25.157,neutral,0.4
t1,2026-03-07 22:45:27.925,sad,0.36
t1,2026-03-07 22:45:27.925,happy,0.49
t1,2026-03-07 22:45:28.218,happy,0.37
t1,2026-03-07 22:45:28.482,happy,0.46
t1,2026-03-07 22:45:28.647,angry,0.33
t1,2026-03-07 22:45:29.277,neutral,0.29
t1,2026-03-07 22:45:30.180,neutral,0.57
t1,2026-03-07 22:45:30.504,sad,0.55
t1,2026-03-07 22:45:30.546,neutral,0.67
t1,2026-03-07 22:45:30.590,sad,0.37
t1,2026-03-07 22:45:30.984,sad,0.46
t1,2026-03-07 22:45:36.714,sad,0.54
t1,2026-03-07 22:45:41.382,sad,0.42
t1,2026-03-07 22:45:47.637,happy,0.37
t1,2026-03-07 22:45:47.759,happy,0.3
t1,2026-03-07 22:45:49.360,sad,0.53
t1,2026-03-07 22:45:49.489,sad,0.86
t1,2026-03-07 22:45:49.528,sad,0.74
t1,2026-03-07 22:45:49.610,sad,0.49
t1,2026-03-07 22:45:49.654,sad,0.49
t1,2026-03-07 22:45:49.699,sad,0.54
t1,2026-03-07 22:45:49.738,neutral,0.41
t1,2026-03-07 22:45:49.786,neutral,0.5
t1,2026-03-07 22:45:49.826,neutral,0.79
t1,2026-03-07 22:45:49.867,neutral,0.67
t1,2026-03-07 22:45:49.913,neutral,0.47
t1,2026-03-07 22:45:49.955,neutral,0.68
t1,2026-03-07 22:45:49.999,neutral,0.55
t1,2026-03-07 22:45:50.038,neutral,0.53
t1,2026-03-07 22:45:50.086,neutral,0.62
t1,2026-03-07 22:45:50.129,neutral,0.57
t1,2026-03-07 22:45:50.172,neutral,0.8
t1,2026-03-07 22:45:50.216,neutral,0.57
t1,2026-03-07 22:45:50.266,neutral,0.77
t1,2026-03-07 22:45:50.313,neutral,0.48
t1,2026-03-07 22:45:50.357,sad,0.49
t1,2026-03-07 22:45:50.403,neutral,0.71
t1,2026-03-07 22:45:50.449,neutral,0.59
t1,2026-03-07 22:45:50.496,neutral,0.67
t1,2026-03-07 22:45:50.544,neutral,0.62
t1,2026-03-07 22:45:50.602,neutral,0.44
t1,2026-03-07 22:45:50.649,neutral,0.58
t1,2026-03-07 22:45:50.698,neutral,0.55
t1,2026-03-07 22:45:50.754,sad,0.5
t1,2026-03-07 22:45:50.804,sad,0.62
t1,2026-03-07 22:45:50.852,sad,0.74
t1,2026-03-07 22:45:50.904,sad,0.92
t1,2026-03-07 22:45:50.951,sad,0.74
t1,2026-03-07 22:45:51.004,sad,0.51
t1,2026-03-07 22:45:51.054,neutral,0.52
t1,2026-03-07 22:45:51.104,sad,0.6
t1,2026-03-07 22:45:51.161,sad,0.46
t1,2026-03-07 22:45:51.220,neutral,0.72
t1,2026-03-07 22:45:51.271,neutral,0.78
t1,2026-03-07 22:45:51.333,neutral,0.57
t1,2026-03-07 22:45:51.403,neutral,0.53
t1,2026-03-07 22:45:51.467,neutral,0.37
t1,2026-03-07 22:45:51.530,sad,0.45
t1,2026-03-07 22:45:51.605,sad,0.51
t1,2026-03-07 22:45:51.684,neutral,0.63
t1,2026-03-07 22:45:51.764,sad,0.56
t1,2026-03-07 22:45:51.852,sad,0.5
t1,2026-03-07 22:45:51.939,neutral,0.54
t1,2026-03-07 22:45:52.023,neutral,0.5
t1,2026-03-07 22:45:52.117,neutral,0.51
t1,2026-03-07 22:45:52.214,neutral,0.54
t1,2026-03-07 22:45:52.305,neutral,0.68
t1,2026-03-07 22:45:52.398,neutral,0.69
t1,2026-03-07 22:45:52.471,neutral,0.56
t1,2026-03-07 22:45:52.538,neutral,0.79
t1,2026-03-07 22:45:52.612,neutral,0.71
t1,2026-03-07 22:45:52.686,neutral,0.58
t1,2026-03-07 22:45:52.761,neutral,0.67
t1,2026-03-07 22:45:52.917,neutral,0.58
t1,2026-03-07 22:45:52.989,neutral,0.7
t1,2026-03-07 22:45:53.057,neutral,0.73
t1,2026-03-07 22:45:53.130,neutral,0.57
t1,2026-03-07 22:45:53.130,neutral,0.52
t1,2026-03-07 22:45:53.203,sad,0.47
t1,2026-03-07 22:45:53.268,neutral,0.52
t1,2026-03-07 22:45:53.338,neutral,0.82
t1,2026-03-07 22:45:53.405,neutral,0.67
t1,2026-03-07 22:45:53.468,neutral,0.45
